activemq,0.386023,0.419719,0.506981,0.818175,0.806395,0.818985,0.860145,0.860674,0.840088,0.361274,0.379144,0.412279
camel,0.35648,0.389405,0.496146,0.861939,0.838616,0.849376,0.896656,0.894544,0.865678,0.355526,0.365872,0.425005
derby,0.309169,0.328309,0.446217,0.815511,0.795262,0.806141,0.891028,0.890435,0.850312,0.312689,0.320774,0.365736
geronimo,0.366333,0.39555,0.489719,0.846339,0.823027,0.837942,0.899245,0.898985,0.874232,0.367552,0.381418,0.419923
hbase,0.573793,0.555623,0.584515,0.877562,0.837345,0.839818,0.871902,0.860243,0.836074,0.520003,0.484771,0.485241
hcommon,0.351268,0.359859,0.461918,0.903466,0.873296,0.884104,0.946408,0.946372,0.92603,0.386525,0.390378,0.425151
mahout,0.433127,0.50396,0.551218,0.845369,0.829168,0.844108,0.867885,0.868716,0.848948,0.391163,0.438215,0.465714
openjpa,0.282818,0.295003,0.42611,0.807039,0.773184,0.792035,0.89934,0.898759,0.860928,0.301237,0.30449,0.351065
pig,0.466447,0.46759,0.505098,0.830515,0.795069,0.807189,0.873776,0.875267,0.845158,0.422805,0.428351,0.415019
tuscany,0.166295,0.195358,0.373098,0.836884,0.810605,0.831646,0.932841,0.932947,0.895985,0.225663,0.244306,0.323176
,0.3691753,0.3910376,0.484102,0.8442799,0.8181967,0.8311344,0.8939226,0.8926942,0.8643433,0.3644437,0.3737719,0.4088309
