datasets,f1-ori,f1-cl,f1-cli,auc-ori,auc-cl,auc-cli,acc-ori,acc-cl,acc-cli,mcc-ori,mcc-cl,mcc-cli
hcommon,0.03220642708860531,0.2943927797288165,0.27776551130984733,0.80415680806521,0.7991468470865395,0.8094302299446186,0.9375890975202914,0.9178416790440691,0.7753221936712262,0.07511661121498875,0.25180553600604855,0.2659673825910679
mahout,0.41060169685089754,0.5070561008592963,0.5319242628987562,0.8296578511810389,0.8284686853756684,0.8394133759512226,0.870781966611631,0.8655312917682207,0.8243993238462142,0.3876974742611973,0.4354560636374494,0.44121723316885786
openjpa,0.08499137161752937,0.2880879338395381,0.33771085445330856,0.7555559867923957,0.7526890344063316,0.7569048424920632,0.8915360691379096,0.8639297645458569,0.7316750750091565,0.12955494855185876,0.21733118743610974,0.2548582015835779
pig,0.30704031532768006,0.4515920062159157,0.46105157711081846,0.801296816806118,0.7985314234851975,0.7999379757748707,0.8664614246825385,0.8603110362805726,0.7661373280252606,0.32636462436698227,0.38426471324567335,0.35567827616447606
tuscany,0.055627756671189056,0.27360259691339633,0.294767180093593,0.7970909696695183,0.7950036558040964,0.800942395035257,0.9292660338041214,0.9089465153970826,0.7770780273211392,0.09407609685751872,0.2274946053841191,0.2679895703934174
