activemq,0.413145,0.439632,0.510908,0.821603,0.809706,0.820026,0.861629,0.860713,0.836116,0.378712,0.390025,0.41371
camel,0.388485,0.416631,0.495311,0.861923,0.841122,0.848858,0.896334,0.893053,0.861097,0.371207,0.379123,0.424165
derby,0.360292,0.388981,0.434272,0.80635,0.793108,0.798774,0.880368,0.87912,0.824563,0.312942,0.332855,0.351859
geronimo,0.372547,0.405616,0.489157,0.84914,0.828812,0.83968,0.897672,0.897821,0.868264,0.363942,0.383144,0.418113
hbase,0.576494,0.565224,0.57424,0.868631,0.838055,0.839208,0.860929,0.849832,0.821562,0.499549,0.476307,0.469786
hcommon,0.363772,0.373759,0.455177,0.903648,0.87699,0.883512,0.944344,0.944082,0.919105,0.377495,0.381862,0.419655
mahout,0.454579,0.516463,0.552895,0.848656,0.831729,0.845999,0.868029,0.868427,0.846667,0.403432,0.446826,0.467194
openjpa,0.310985,0.333211,0.419165,0.799448,0.769611,0.787185,0.894488,0.895555,0.847219,0.296111,0.314392,0.341799
pig,0.489287,0.485778,0.498227,0.83802,0.800079,0.808556,0.871284,0.870217,0.829361,0.431193,0.426697,0.401422
tuscany,0.179892,0.215773,0.370676,0.835384,0.810751,0.832484,0.932512,0.932531,0.892447,0.230958,0.253171,0.320751
,0.3909478,0.4141068,0.4800028,0.8432803,0.8199963,0.8304282,0.8907589,0.8891351,0.8546401,0.3665541,0.3784402,0.4028454
