datasets,f1-ori,f1-cl,f1-cli,auc-ori,auc-cl,auc-cli,acc-ori,acc-cl,acc-cli,mcc-ori,mcc-cl,mcc-cli
activemq,0.27810605282145456,0.42524521222799966,0.460003953814111,0.7831105813677534,0.7815632255724916,0.7837036119816683,0.8488971277635656,0.8357800794492627,0.7528572617042074,0.2697428847997323,0.33496933719853095,0.34325315904555814
camel,0.18487546235376306,0.40759074055833844,0.42188862218021866,0.8135652662445448,0.8136203910510457,0.8189574988097222,0.8876079240234755,0.8778403465828374,0.7804074568324616,0.2190481957724591,0.3442644165851688,0.35062308508278534
derby,0.16869398396443774,0.3582851278029634,0.3910713074299558,0.7839603628644305,0.7857117201767175,0.788939204830947,0.8849411764705882,0.8698312020460358,0.7581687979539642,0.20350707777164284,0.2931540487087732,0.3091359136069679
geronimo,0.16177353441204528,0.35284071381681337,0.38985981225228183,0.790851949922571,0.7884047851762849,0.7943214693527307,0.8852773738924296,0.8686663868694622,0.7672362667003956,0.18319081099751483,0.2844811578864682,0.3102306385043646
hbase,0.3158107748477332,0.4549626574551809,0.4879683625760821,0.7853708121942591,0.7870044371289837,0.7898212274205851,0.8316027750855518,0.8240861126747184,0.753652012962187,0.2908743051380651,0.357213693828462,0.3552215217735296
