activemq,0.480843,0.504859,0.508034,0.816494,0.805979,0.811223,0.85082,0.84824,0.810861,0.399355,0.416547,0.403672
camel,0.471324,0.479879,0.479758,0.85623,0.841553,0.845673,0.886244,0.87738,0.836819,0.40979,0.410603,0.410173
derby,0.385329,0.41383,0.433708,0.811005,0.800817,0.807694,0.86846,0.863437,0.807284,0.314849,0.336838,0.354953
geronimo,0.426787,0.452368,0.488444,0.849606,0.834442,0.84182,0.896335,0.894645,0.860705,0.392022,0.406201,0.417189
hbase,0.563043,0.560554,0.565876,0.848669,0.829927,0.831784,0.845697,0.83425,0.809348,0.470116,0.45901,0.458594
hcommon,0.359368,0.382211,0.451188,0.887853,0.870352,0.878,0.943328,0.943576,0.920024,0.368682,0.384788,0.414646
mahout,0.513809,0.555751,0.541419,0.859311,0.845833,0.854114,0.867159,0.86582,0.830267,0.442825,0.477661,0.45353
openjpa,0.324368,0.352501,0.428229,0.804164,0.780545,0.797794,0.894959,0.894833,0.856955,0.306661,0.325276,0.352715
pig,0.483392,0.491913,0.490439,0.818344,0.792771,0.8033,0.865069,0.862868,0.815926,0.415542,0.419027,0.390801
tuscany,0.269354,0.302237,0.350403,0.837887,0.814303,0.82703,0.926923,0.923191,0.864066,0.260411,0.275956,0.305343
,0.4277617,0.4496103,0.4737498,0.8389563,0.8216522,0.8298432,0.8844994,0.880824,0.8412255,0.3780253,0.3911907,0.3961616
